"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"2105","Core",67,"parasites",0.450511124771534,0.0487447279111058,0.371098442814007,1,0.25,0.5,0.108198721920187
"2106","Core",68,"parasites",0.448580375004123,0.0484386560655468,0.377242738094202,1,0.25,0.5,0.107982111489165
"2107","Core",69,"parasites",0.386058050859646,0.0578485906226291,0.190979532697056,2.32530120481928,0.25,0.5,0.149844279879194
"2108","Core",70,"parasites",0.385278423250174,0.0574673024814379,0.177649416681353,2.34106728538283,0.25,0.5,0.149157853161485
"2109","Core",71,"parasites",0.388402630410318,0.0587711276424254,0.178257435280333,2.37708830548926,0.25,0.5,0.15131495783213
"2110","Core",72,"parasites",0.387004367901224,0.0583184315435142,0.172730650722598,2.37264150943396,0.25,0.5,0.150691920765088
"2111","Core",74,"parasites",0.38497876922461,0.0560905158644763,0.177666957956112,2.35253456221198,0.25,0.5,0.145697686076167
"2112","Core",77,"parasites",0.381572340102962,0.0611444034268916,0.635060174147998,1,0.25,0.5,0.160243280239843
"2113","Core",78,"parasites",0.394575492040105,0.0563373059010412,0.635323227762506,1.69077306733167,0.25,0.5,0.142779536584383
"2114","Core",79,"parasites",0.399367556639977,0.0532899749691857,0.844162046241437,1,0.25,0.5,0.133435914067566
"2115","Core",80,"parasites",0.30343124191706,0.0668260571324794,0.790249423697977,1.2046511627907,0.25,0.5,0.220234596511145
"2116","Core",81,"parasites",0.355474709458922,0.0513018432723243,0.647694846287949,1,0.25,0.5,0.144319249463379
"2117","Core",82,"parasites",0.368073205081429,0.0454161103274652,0.635203604407141,1,0.25,0.5,0.123388797936046
"2118","Core",83,"parasites",0.363417573186955,0.0536853526642363,0.587033355289592,1,0.25,0.5,0.147723601237683
"2119","Core",84,"parasites",0.387334901549434,0.0461932162461528,0.754661448780363,1,0.25,0.5,0.119259111588883
"2120","Core",86,"parasites",0.375077907567974,0.0562676039829175,0.703975763208495,1,0.25,0.5,0.150015777649395
"2121","Core",88,"parasites",0.367398915966926,0.0574231040366661,0.701220794628616,1,0.25,0.5,0.156296334967509
"2122","Core",89,"parasites",0.352569985248642,0.0534514154891022,0.618947744470398,1,0.25,0.5,0.151605121608429
"2123","Core",90,"parasites",0.282000597474352,0.0443791569206589,0.8108861358836,1,0.25,0.5,0.157372563455988
"2124","Core",91,"parasites",0.266694637326245,0.0511941714981011,0.854292071394537,1,0.25,0.5,0.191958008647455
"2125","Core",92,"parasites",0.379094874600982,0.0567533680765385,0.463444796708667,1,0.25,0.5,0.149707558394912
"2126","Core",93,"parasites",0.380006639592071,0.0584924032367601,0.498497638495064,1,0.25,0.5,0.153924687472699
"2127","Core",94,"parasites",0.334048827911854,0.0543808350460376,0.354254063327788,1,0.25,0.5,0.162793072455824
"2128","Core",95,"parasites",0.331650615664363,0.0558915998421936,0.385534420358837,1,0.25,0.5,0.168525542249428
"2129","Core",96,"parasites",0.334911665103172,0.057905279444436,0.379405009556616,1,0.25,0.5,0.172897171039408
"2130","Core",97,"parasites",0.332196636821754,0.0563242020842614,0.349383442330775,1,0.25,0.5,0.169550789626094
"2131","Core",98,"parasites",0.350273171423808,0.0557519068812894,0.420099522339712,1,0.25,0.5,0.159166934352026
"2132","Core",99,"parasites",0.333436445265528,0.0532969194916831,0.358202612594272,1,0.25,0.5,0.159841313834907
"2133","Core",100,"parasites",0.355434772360777,0.0527443281397235,0.345582699045396,1,0.25,0.5,0.148393832683839
"2134","Core",101,"parasites",0.355939845632593,0.0523928505156095,0.340996956378503,1,0.25,0.5,0.14719580052212
"2135","Core",102,"parasites",0.353075029697192,0.0514329377460592,0.333438323851665,1,0.25,0.5,0.14567141094676
"2136","Disturbed",1,"hosts",0.19401435647889,0.075355734848204,0.450921442473922,2.77689243027888,0.25,0.5,0.388402880156981
"2137","Disturbed",1,"parasites",0.430811353415599,0.0799134419635585,0.814514586259885,1.42610062893082,0.25,0.5,0.185495208819315
"2138","Disturbed",2,"hosts",0.384979018637043,0.103123060788592,0.537430782548256,1.32059800664452,0.25,0.5,0.26786670388865
"2139","Disturbed",2,"parasites",0.464617804582013,0.0661733099778212,0.71252804465209,1.52750352609309,0.25,0.5,0.142425256469353
"2140","Disturbed",3,"hosts",0.446173733244498,0.0730693483502221,0.554722523283858,1.16859716859717,0.25,0.5,0.16376882569683
"2141","Disturbed",3,"parasites",0.452077917308097,0.0671072867612402,0.831019853679101,1.49448818897638,0.25,0.5,0.148441859670632
"2142","Disturbed",4,"hosts",0.35028228828359,0.0983511547623989,0.70557001342423,1.52083333333333,0.25,0.5,0.280776842141597
"2143","Disturbed",4,"parasites",0.271651340128848,0.0684189035304979,0.59269125713932,1,0.25,0.5,0.251862933928638
"2144","Disturbed",5,"hosts",0.347289789570274,0.0612102023858427,0.193883786563835,2.58930741190765,0.25,0.5,0.176251085474129
"2145","Disturbed",5,"parasites",0.445348408267785,0.0803803012833436,0.5281799883658,3.62164750957854,0.25,0.5,0.180488578809541
"2146","Disturbed",6,"hosts",0.36521272383289,0.0751139295437794,0.693283469040681,0.972875226039783,0.25,0.5,0.20567172127921
"2147","Disturbed",6,"parasites",0.463103867245111,0.0488085294181108,0.776071011211621,1,0.25,0.5,0.10539434643131
"2148","Disturbed",7,"hosts",0.361683756825752,0.0788919325253249,0.333936870037596,0.953488372093023,0.25,0.5,0.218124068433996
"2149","Disturbed",7,"parasites",0.372421616535586,0.0843952174811815,0.684142769651009,1,0.25,0.5,0.226612027159592
"2150","Disturbed",8,"hosts",0.420153895061045,0.0727109184193369,0.447078113617969,0.951058201058201,0.25,0.5,0.173057823035944
"2151","Disturbed",8,"parasites",0.527637280163614,NA,0.612332039100918,1,0.25,0.5,NA
"2152","Disturbed",9,"hosts",0.415871457337461,0.0773700773880702,0.387970129672185,0.958015267175573,0.25,0.5,0.186043249718116
"2153","Disturbed",9,"parasites",0.472514365047488,0.0804022661360416,0.71647106225419,1,0.25,0.5,0.170158353022688
"2154","Disturbed",10,"hosts",0.416142308558245,0.0795828613639994,0.406893079315341,0.950928381962865,0.25,0.5,0.191239534474925
"2155","Disturbed",10,"parasites",0.475000614908828,0.0626090283557804,0.802802157255128,1.34804753820034,0.25,0.5,0.131808310117236
"2156","Disturbed",11,"hosts",0.422111644654715,0.0745544818117527,0.444325134388133,0.950127877237852,0.25,0.5,0.176622660748291
"2157","Disturbed",11,"parasites",0.43340687805029,0.0790515377528565,0.785492774029728,1.99398315282792,0.25,0.5,0.182395669649903
"2158","Disturbed",12,"hosts",0.383521278419226,0.0648001354423713,0.13827451474887,4.01114206128134,0.25,0.5,0.168960991446056
"2159","Disturbed",12,"parasites",0.459673473162009,0.0666126796253709,0.77000261945261,1.52234206471495,0.25,0.5,0.144913038307724
"2160","Disturbed",13,"hosts",0.321712598674401,0.0712088316705867,0.299117038300031,1.86946386946387,0.25,0.5,0.221342999820332
"2161","Disturbed",13,"parasites",0.432976900004564,0.108775891189362,0.803449016167792,1,0.25,0.5,0.251227931994099
"2162","Disturbed",14,"hosts",0.27472230980178,0.0861382695079225,0.78126147804859,0.835111542192047,0.25,0.5,0.313546684905473
"2163","Disturbed",14,"parasites",0.457307544318694,0.0674169702395633,0.491039330604859,7.56470588235294,0.25,0.5,0.147421513327541
"2164","Disturbed",15,"hosts",0.308992067267376,0.0958806179325213,0.730717093838232,0.844370860927152,0.25,0.5,0.310301228055651
"2165","Disturbed",15,"parasites",0.437302753493887,0.0984516719040887,0.51569721456851,1.44223826714801,0.25,0.5,0.225133894350073
"2166","Disturbed",16,"hosts",0.384911621902628,0.0791808471610609,0.369751953969537,2.01940298507463,0.25,0.5,0.205711759935093
"2167","Disturbed",16,"parasites",0.463869707508134,0.0711082685547215,0.369110227932973,4.60251798561151,0.25,0.5,0.153293624058162
"2168","Disturbed",17,"hosts",0.335516556970116,0.0722319422645204,0.940293905209021,0.193181818181818,0.25,0.5,0.215285775810325
"2169","Disturbed",17,"parasites",0.469557279083692,0.0684219509644292,0.362590963466143,2.40990516332982,0.25,0.5,0.145715877513282
"2170","Disturbed",18,"hosts",0.357788516544208,0.0798923699693385,0.525223398177777,0.884041331802526,0.25,0.5,0.22329495295433
"2171","Disturbed",18,"parasites",0.377503947840615,0.064220188497041,0.794615518556396,1,0.25,0.5,0.170117925559166
"2172","Disturbed",19,"hosts",0.449768883238593,0.064797871261663,0.698865106604177,0.613728129205922,0.25,0.5,0.144069262406686
"2173","Disturbed",19,"parasites",0.459744939358317,0.0697456714474955,0.526359277370558,2.10152838427948,0.25,0.5,0.151705142300951
"2174","Disturbed",20,"hosts",0.406217991088959,0.0721259174579777,0.173998737447637,4.11480362537764,0.25,0.5,0.177554709639098
"2175","Disturbed",21,"hosts",0.17475651795856,0.086235773478748,0.308517877981873,6.31547619047619,0.25,0.5,0.493462415514581
"2176","Disturbed",21,"parasites",0.462577103874087,0.0751522258521648,0.470955303174611,2.69246861924686,0.25,0.5,0.162464214555291
"2177","Disturbed",22,"hosts",0.457549788404501,0.0709650023080295,0.436231858666794,3.24285714285714,0.25,0.5,0.155097880288587
"2178","Disturbed",22,"parasites",0.476656247822123,0.0635575554507824,0.829079525012384,1.39324116743472,0.25,0.5,0.133340443435246
"2179","Disturbed",23,"hosts",0.199662308899439,0.111450875660882,0.274865267273435,6.08378378378378,0.25,0.5,0.558196868879317
"2180","Disturbed",23,"parasites",0.404167061737567,0.0737463165039923,0.525751713857527,1,0.25,0.5,0.182464934641005
"2181","Disturbed",24,"hosts",0.343386428446887,0.0643932989368649,0.183291579755092,4.63970588235294,0.25,0.5,0.187524297998937
"2182","Disturbed",25,"hosts",0.3795273403963,0.0730205823740361,0.690502623290475,0.962003454231434,0.25,0.5,0.192398740754193
